NEIGHBOURHOOD_ID,neighbourhood_name,TOT_HOSPITALIZED,TOT_IN_ICU,TOT_INTUBATED,ACTIVE_CASES,FATAL_CASES,RESOLVED_CASES,TOTAL_CASES,INFECT_CLOSE_CONT,INFECT_OB_CONGR,INFECT_OB_HEALTH,INFECT_OB_OTHER,INFECT_NO_INFO,INFECT_COMMUNITY,INFECT_TRAVEL,INFECT_PENDING,P_FATALITY_RATE,P_Hospital_RATE,P_ICU_RATE,P_INFECT_CLOSE_CONT,P_INFECT_OB_CONGR,P_INFECT_OB_HEALTH,P_INFECT_OB_OTHER,P_INFECT_NO_INFO,P_INFECT_COMMUNITY,P_INFECT_TRAVEL,P_INFECT_PENDING,NBH_NIA_IND,NBH_SH_UNITS,NBH_SH_RGI,AGE1_0_to_14,AGE1_15_to_24,AGE1_25_to_54,AGE1_55_to_64,AGE1_65_to_84,AGE1_85_up,COMM_Vehicle_Driver,COMM_Vehicle_PASs,COMM_Public_Transit,COMM_Walk,COMM_Bicycle,COMM_Other,COMM_Tot,EDU_Tot,EDU_None,EDU_HS_Lower,EDU_High_School,EDU_College_Trades,EDU_University,DWEL_SD_House,DWEL_Apart,DWEL_Attached,DWEL_Movable,INCHH_Under_25000,INCHH_25000_50000,INCHH_50000_99999,INCHH_Over_100000,INCHH_25000_99999,INCIND_Pop_with_amount,INCIND_Population_15up,P_INCIND_Total_Avg,INCIND_pop_low_inc,P_INCIND_pop_low_inc,HH_1_Person,HH_2_Persons,HH_3_Persons,HH_4_Persons,HH_5_Persons,P_HH_Avg_Size,HH_Tot,IMM_Before_1981,IMM_1981_2000,IMM_2001_2016,IMM_Non_Imm,IMM_Non_Perm_res,IMM_No,IMM_Yes,IND_Cat_11,IND_Cat_21,IND_Cat_22,IND_Cat_23,IND_Cat_31,IND_Cat_41,IND_Cat_44,IND_Cat_48,IND_Cat_51,IND_Cat_52,IND_Cat_53,IND_Cat_54,IND_Cat_55,IND_Cat_56,IND_Cat_61,IND_Cat_62,IND_Cat_71,IND_Cat_72,IND_Cat_81,IND_Cat_91,IND_Tot,IND_Ess_Yes,IND_Ess_NO,OCC_NA,OCC_Cat_0,OCC_Cat_1,OCC_Cat_2,OCC_Cat_3,OCC_Cat_4,OCC_Cat_5,OCC_Cat_6,OCC_Cat_7,OCC_Cat_8,OCC_Cat_9,OCC_Tot,OCC_Ess_No,OCC_Ess_Yes,VM_Black,VM_South_ASian,VM_EASt_ASian,VM_SOUTheASt_ASian,VM_West_ASian,VM_Latin_American,VM_Multiple,VM_Not_Vismin,VM_Other,VM_Mult_Oth,VM_No,VM_Yes,POP_population,POP_land_area,POP_density,AGE_00_to_19,AGE_20_to_39,AGE_40_to_64,AGE_65_UP,P_AGE1_0_to_14,P_AGE1_15_to_24,P_AGE1_25_to_54,P_AGE1_55_to_64,P_AGE1_65_to_84,P_AGE1_85_UP,P_AGE_00_to_19,P_AGE_20_to_39,P_AGE_40_to_64,P_AGE_65_up,P_COMM_Bicycle,P_COMM_Other,P_COMM_Public_Transit,P_COMM_Vehicle_Driver,P_COMM_Vehicle_PASs,P_COMM_Walk,P_DWEL_Apart,P_DWEL_Attached,P_DWEL_Movable,P_DWEL_SD_House,P_EDU_College_Trades,P_EDU_High_School,P_EDU_HS_Lower,P_EDU_None,P_EDU_University,P_HH_1_Person,P_HH_2_Persons,P_HH_3_Persons,P_HH_4_Persons,P_HH_5_Persons,P_IMM_1981_2000,P_IMM_2001_2016,P_IMM_Before_1981,P_IMM_Non_Imm,P_IMM_1Non_Perm_Res,P_IMM_Yes,P_IMM_No,P_INC_25000_50000,P_INC_50000_99999,P_INC_Over_100000,P_INC_Under_25000,P_INC_25000_99999,P_IND_Cat_11,P_IND_Cat_21,P_IND_Cat_22,P_IND_Cat_23,P_IND_Cat_31,P_IND_Cat_41,P_IND_Cat_44,P_IND_Cat_48,P_IND_Cat_51,P_IND_Cat_52,P_IND_Cat_53,P_IND_Cat_54,P_IND_Cat_55,P_IND_Cat_56,P_IND_Cat_61,P_IND_Cat_62,P_IND_Cat_71,P_IND_Cat_72,P_IND_Cat_81,P_IND_Cat_91,P_IND_Ess_Yes,P_IND_Ess_No,P_NBH_SH_UNITS,NIA_IND,P_OCC_0,P_OCC_1,P_OCC_2,P_OCC_3,P_OCC_4,P_OCC_5,P_OCC_6,P_OCC_7,P_OCC_8,P_OCC_9,P_OCC_NA,P_OCC_Ess_Yes,P_OCC_Ess_No,P_VM_Black,P_VM_EASt_ASian,P_VM_Latin_American,P_VM_Multiple,P_VM_Not_Vismin,P_VM_Other,P_VM_SOUTh_ASian,P_VM_SOUTheASt_ASian,P_VM_West_ASian,P_VM_No,P_VM_Yes,P_VM_Mult_Oth,INFECTION_RATE
1,West Humber-Clairville,123,18,7,66,50,2259,2375,141,8,214,104,831,569,21,23,0.0210526316,0.0517894737,0.0075789474,0.0593684211,0.0033684211,0.0901052632,0.0437894737,0.3498947368,0.2395789474,0.0088421053,0.0096842105,0,950,411,"5,060","5,445","13,845","3,990","4,980",615,"9,445","1,140","4,380",425,60,95,"15,575","17,695","2,550",7355,"4,805",4705,5600,"3,870","2,265","4,150",0,1195,2130,3870,3085,6000,"26,275","27,840","31,771","4,550",14,"1,800","2,430","2,020","1,985","2,050",3,"10,280","3,790",7860,7585,"12,285","1,370",13655,19235,20,20,45,"1,025","2,835",675,"2,020","1,695",400,755,295,965,35,"1,285",875,"1,665",335,"1,195",710,460,"17,295",12430,4880,565,915,"2,710","1,165","1,055","1,295",290,"4,740","2,940",90,"2,065","17,845",6375,11455,"6,260","13,920",590,2105,540,"1,300",685,"5,940","1,535",1370,"5,940",26935,"33,312",30,"1,117",7380,10285,10645,5005,0.1518972142,0.163454611,0.4156159942,0.1197766571,0.1494956772,0.0184618156,0.2215417867,0.3087475985,0.3195545149,0.1502461575,0.0038523274,0.0060995185,0.2812199037,0.6064205457,0.0731942215,0.0272873194,0.2203307393,0.4036964981,0,0.376459144,0.2658943204,0.2715456344,0.4156541396,0.1441085052,0.3164735801,0.1750972763,0.236381323,0.1964980545,0.1930933852,0.1994163424,0.2359510086,0.2276957253,0.1137728146,0.3687860231,0.0411263208,0.5774195485,0.4099123439,0.2071984436,0.376459144,0.3000972763,0.1162451362,0.5836575875,0.0011564036,0.0011564036,0.0026019081,0.0592656837,0.1639202082,0.039028621,0.1167967621,0.0980052038,0.0231280717,0.0436542353,0.0170569529,0.055796473,0.0020237063,0.0742989303,0.0505926568,0.0962705984,0.01936976,0.0690951142,0.0410523273,0.0265972825,0.718704828,0.2821624747,0.0105848403,0,0.0512748669,0.151863267,0.0652843934,0.0591202017,0.0725693472,0.0162510507,0.265620622,0.1647520314,0.0050434295,0.1157186887,0.0316615298,0.6419165032,0.3572429252,0.187920269,0.0177113353,0.039024976,0.0205631604,0.178314121,0.0460794909,0.4178674352,0.0631904419,0.0162103746,0.178314121,0.8085674832,0.0411263208,0.071
2,Mount Olive-Silverstone-Jamestown,117,23,17,77,18,2560,2655,176,15,82,92,1032,643,17,26,0.006779661,0.0440677966,0.0086629002,0.0662900188,0.0056497175,0.0308851224,0.0346516008,0.388700565,0.2421845574,0.0064030132,0.0097928437,1,1288,1181,"7,090","5,240","13,615","3,475","3,560",300,"6,965",930,"4,110",385,35,170,"12,600","17,025","4,205",9080,"4,875",3800,4135,"1,655","6,165","2,065",0,1490,2875,3810,1700,6685,"23,845","25,745","26,548","7,140",22,"1,510","2,045","2,010","2,075","2,215",3,"9,880","2,465",7205,11815,"10,425",900,11325,21485,40,10,15,940,"2,700",610,"1,580","1,240",310,505,185,560,30,"1,105",545,"1,360",215,"1,155",585,295,"13,955",10665,3320,815,590,"1,800",670,840,"1,035",185,"4,000","2,605",85,"2,120","14,765",4280,10465,"8,390","11,095",365,1405,4065,"1,085",610,"4,375","1,445",1220,"4,375",28460,"32,954",5,"7,291",9675,9510,10265,3560,0.2151483887,0.1590095284,0.413151666,0.1054500212,0.1080293743,0.009103599,0.2935910663,0.2885840869,0.3114948109,0.1080293743,0.0027777778,0.0134920635,0.3261904762,0.5527777778,0.0738095238,0.0305555556,0.6239878543,0.2090080972,0,0.1675101215,0.2232011747,0.2863436123,0.5333333333,0.246989721,0.2428781204,0.1528340081,0.2069838057,0.2034412955,0.2100202429,0.2241902834,0.2186381016,0.3585300722,0.0748012381,0.3163500637,0.0273107969,0.6519694119,0.3436608606,0.2909919028,0.3856275304,0.1720647773,0.1508097166,0.6766194332,0.0028663561,0.000716589,0.0010748836,0.0673593694,0.1934790398,0.0437119312,0.1132210677,0.0888570405,0.0222142601,0.0361877463,0.0132568972,0.040128986,0.0021497671,0.0791830885,0.0390541025,0.0974561089,0.0154066643,0.0827660337,0.0419204586,0.0211393766,0.7642422071,0.23790756,0.014350815,1,0.0399593634,0.1219099221,0.0453775821,0.056891297,0.0700982052,0.0125296309,0.270910938,0.1764307484,0.0057568574,0.1435827972,0.0551981036,0.7087707416,0.2898747037,0.2545973175,0.0110760454,0.0329246829,0.0185106512,0.1327608181,0.0438490016,0.3366814347,0.0426351884,0.1233537659,0.1327608181,0.8636280876,0.0370213024,0.081
3,Thistletown-Beaumond Heights,52,6,1,20,56,775,851,51,24,180,22,265,153,4,2,0.0658049354,0.0611045828,0.0070505288,0.0599294947,0.0282021152,0.2115158637,0.0258519389,0.3113983549,0.1797884841,0.0047003525,0.0023501763,1,372,180,"1,730","1,410","4,160","1,195","1,880",350,"2,860",320,"1,030",110,15,20,"4,345","5,365",930,2310,"1,380",1480,1570,"1,575",680,"1,020",0,410,815,1140,935,1955,"7,970","8,390","32,815","1,485",15,570,880,645,565,615,3,"3,280","1,175",2075,2210,"4,470",190,4660,5460,0,10,20,455,690,215,640,465,120,200,75,275,0,300,245,410,70,325,180,145,"4,860",3465,1375,210,350,725,210,265,395,110,"1,335",965,35,475,"5,060",1790,3285,"1,645","2,555",165,425,630,660,160,"3,615",285,320,"3,615",6525,"10,360",3,"3,130",2370,2820,3285,1885,0.166988417,0.1361003861,0.4015444015,0.1153474903,0.1814671815,0.0337837838,0.2287644788,0.2722007722,0.3170849421,0.1819498069,0.003452244,0.0046029919,0.2370540852,0.6582278481,0.0736478711,0.0253164557,0.2073170732,0.3109756098,0,0.4801829268,0.275862069,0.25722274,0.4305684995,0.1733457596,0.2926374651,0.1737804878,0.2682926829,0.1966463415,0.1722560976,0.1875,0.2002895753,0.2133204633,0.1134169884,0.4314671815,0.0183397683,0.527027027,0.4498069498,0.2484756098,0.3475609756,0.2850609756,0.125,0.5960365854,0,0.0020576132,0.0041152263,0.0936213992,0.1419753086,0.0442386831,0.1316872428,0.0956790123,0.024691358,0.0411522634,0.0154320988,0.0565843621,0,0.0617283951,0.0504115226,0.0843621399,0.0144032922,0.066872428,0.037037037,0.0298353909,0.712962963,0.2829218107,0.0041448006,1,0.0691699605,0.1432806324,0.0415019763,0.0523715415,0.0780632411,0.0217391304,0.2638339921,0.1907114625,0.006916996,0.0938735178,0.0415019763,0.6492094862,0.3537549407,0.1587837838,0.0159266409,0.0637065637,0.0154440154,0.3489382239,0.0275096525,0.2466216216,0.041023166,0.0608108108,0.3489382239,0.6298262548,0.0308880309,0.082
4,Rexdale-Kipling,26,4,1,26,21,493,540,41,1,89,22,182,113,4,7,0.0388888889,0.0481481481,0.0074074074,0.0759259259,0.0018518519,0.1648148148,0.0407407407,0.337037037,0.2092592593,0.0074074074,0.012962963,0,308,299,"1,640","1,355","4,300","1,520","1,730",300,"2,930",235,"1,345",150,25,55,"4,730","5,755",850,2530,"1,680",1730,1505,"1,775",460,"1,610",0,670,850,1295,1035,2145,"8,245","8,720","34,418","1,640",16,985,"1,045",700,655,450,3,"3,845","1,320",1895,1755,"5,255",130,5385,4970,25,0,20,430,610,230,655,450,95,220,105,300,0,470,335,535,90,290,210,210,"5,265",3650,1630,215,370,930,280,230,555,125,"1,465",835,80,390,"5,480",2260,3215,"1,470","1,420",210,685,325,850,170,"4,990",235,340,"4,990",5365,"10,529",2,"4,229",2275,2760,3775,1725,0.1557602811,0.1286921835,0.4083958591,0.1443631874,0.1643081014,0.0284927344,0.2160699022,0.262133156,0.3585335739,0.1638332225,0.0052854123,0.011627907,0.2843551797,0.6194503171,0.0496828753,0.0317124736,0.1196358908,0.4187256177,0,0.4616384915,0.3006081668,0.2919200695,0.4396177237,0.1476976542,0.2615117289,0.2561768531,0.2717815345,0.1820546164,0.1703511053,0.1170351105,0.1799791053,0.166682496,0.1253680312,0.4990977301,0.0123468516,0.4720296324,0.5114445816,0.2210663199,0.3368010403,0.2691807542,0.1742522757,0.5578673602,0.0047483381,0,0.0037986705,0.081671415,0.1158594492,0.0436847104,0.1244064577,0.0854700855,0.0180436847,0.0417853751,0.0199430199,0.056980057,0,0.0892687559,0.0636277303,0.1016144349,0.0170940171,0.0550807217,0.0398860399,0.0398860399,0.6932573599,0.3095916429,0.0034317166,0,0.0675182482,0.1697080292,0.0510948905,0.0419708029,0.1012773723,0.022810219,0.2673357664,0.1523722628,0.0145985401,0.0711678832,0.0392335766,0.5866788321,0.4124087591,0.1396143983,0.019944914,0.080729414,0.0161458828,0.4739291481,0.0223193086,0.1348656093,0.0650584101,0.0308671289,0.4739291481,0.509545066,0.0322917656,0.051
5,Elms-Old Rexdale,21,1,0,19,1,482,502,37,8,19,11,185,130,7,4,0.0019920319,0.0418326693,0.0019920319,0.0737051793,0.015936255,0.0378486056,0.0219123506,0.3685258964,0.2589641434,0.0139442231,0.0079681275,1,358,358,"1,805","1,440","3,700","1,255","1,275",145,"2,350",250,"1,330",70,20,30,"4,045","4,925",775,2445,"1,670",1420,1060,990,"1,375",845,0,445,865,1180,720,2045,"7,170","7,640","32,012","1,695",18,635,885,665,535,500,3,"3,220","1,100",2010,1620,"4,600",120,4720,4730,0,0,0,300,510,205,540,420,110,200,90,240,20,340,260,500,50,280,190,145,"4,435",3080,1320,205,285,700,225,290,360,85,"1,330",755,30,375,"4,635",1655,2985,"2,930",840,225,835,325,765,245,"3,085",210,490,"3,085",6375,"9,456",3,"3,306",2490,2480,3210,1290,0.1908840948,0.152284264,0.391285956,0.1327199662,0.1348350254,0.0153341794,0.2633248731,0.2622673435,0.3394670051,0.1364213198,0.0049443758,0.0074165637,0.3288009889,0.5809641533,0.0618046972,0.0173053152,0.4270186335,0.2624223602,0,0.3074534161,0.2883248731,0.3390862944,0.4964467005,0.1573604061,0.2152284264,0.1972049689,0.2748447205,0.2065217391,0.1661490683,0.1552795031,0.2125634518,0.171319797,0.1163282572,0.486463621,0.0126903553,0.5002115059,0.4991539763,0.2686335404,0.3664596273,0.2236024845,0.1381987578,0.6350931677,0,0,0,0.067643743,0.114994363,0.0462232244,0.1217587373,0.0947012401,0.0248027057,0.0450958286,0.0202931229,0.0541149944,0.0045095829,0.0766629087,0.0586245772,0.1127395716,0.0112739572,0.0631341601,0.0428410372,0.0326944758,0.694475761,0.297632469,0.0039888135,1,0.0614886731,0.1510248112,0.0485436893,0.0625674218,0.0776699029,0.0183387271,0.2869471413,0.1628910464,0.0064724919,0.0809061489,0.0442286947,0.644012945,0.3570658037,0.309856176,0.0237944162,0.0809010152,0.0259094755,0.3262478849,0.0222081218,0.0888324873,0.0883037225,0.0343697124,0.3262478849,0.6741751269,0.0518189509,0.053
6,Kingsview Village-The Westway,66,16,13,54,17,1114,1185,81,15,36,42,384,330,5,22,0.0143459916,0.0556962025,0.0135021097,0.0683544304,0.0126582278,0.0303797468,0.035443038,0.3240506329,0.2784810127,0.0042194093,0.0185654008,1,553,401,"4,240","3,020","8,635","2,550","3,585",575,"5,335",450,"2,665",270,45,65,"8,835","11,120","1,720",4895,"3,175",2905,3315,"2,175","4,760",850,0,1060,2025,2815,1875,4840,"16,765","17,745","36,674","4,340",20,"1,760","2,285","1,400","1,235","1,110",3,"7,785","2,835",3650,4950,"10,110",450,10560,11435,10,15,35,790,960,375,"1,050",880,235,475,185,670,30,790,590,"1,015",220,800,430,285,"9,830",6715,3125,435,825,"1,660",600,580,950,245,"2,775","1,595",40,565,"10,265",4280,5990,"5,340","3,630",655,955,810,980,425,"8,835",325,850,"8,835",13120,"22,000",5,"4,356",5740,5710,6970,3580,0.1927272727,0.1372727273,0.3925,0.1159090909,0.1629545455,0.0261363636,0.2609090909,0.2595454545,0.3168181818,0.1627272727,0.0050933786,0.0073571024,0.3016411998,0.6038483305,0.0509337861,0.0305602716,0.6114322415,0.1091843288,0,0.2793834297,0.2612410072,0.2855215827,0.4401978417,0.154676259,0.2981115108,0.2260757868,0.2935131663,0.1798330122,0.1586384072,0.1425818882,0.1659090909,0.225,0.1288636364,0.4595454545,0.0204545455,0.5197727273,0.48,0.2601156069,0.3615928067,0.2408477842,0.1361592807,0.6217084136,0.001017294,0.001525941,0.003560529,0.0803662258,0.0976602238,0.0381485249,0.1068158698,0.0895218718,0.023906409,0.0483214649,0.018819939,0.0681586979,0.003051882,0.0803662258,0.0600203459,0.1032553408,0.022380468,0.0813835198,0.0437436419,0.0289928789,0.6831129196,0.3179043744,0.0061614912,1,0.08037019,0.1617145641,0.0584510472,0.056502679,0.0925474915,0.023867511,0.2703360935,0.1553823673,0.0038967365,0.0550414028,0.0423770093,0.5835362884,0.4169508037,0.2427272727,0.0297727273,0.0445454545,0.0193181818,0.4015909091,0.0147727273,0.165,0.0434090909,0.0368181818,0.4015909091,0.5963636364,0.0386363636,0.054
7,Willowridge-Martingrove-Richview,51,8,3,41,8,763,812,55,1,45,29,270,244,4,11,0.0098522167,0.0628078818,0.0098522167,0.0677339901,0.0012315271,0.0554187192,0.0357142857,0.3325123153,0.3004926108,0.0049261084,0.013546798,0,762,511,"3,555","2,625","8,140","2,905","4,905",885,"6,220",515,"2,380",140,20,65,"9,360","11,105","1,080",3905,"2,825",2880,4325,"3,600","3,740","1,165",0,990,1895,2740,2915,4635,"17,785","18,585","44,177","2,470",11,"2,165","2,600","1,495","1,400",840,3,"8,510","3,420",3035,3570,"11,775",340,12115,10025,10,10,50,880,990,490,"1,150",700,170,835,255,900,35,650,895,895,250,470,510,365,"10,535",6245,4265,325,"1,200","1,980",750,500,"1,300",255,"2,455","1,475",70,540,"10,870",5485,5365,"2,960","2,340",1015,755,285,935,260,"13,270",340,520,"13,270",8890,"22,156",6,"4,007",4820,5140,7285,4905,0.1604531504,0.1184780646,0.3673948366,0.1311157249,0.2213847265,0.0399440332,0.2175482939,0.2319913342,0.3288048384,0.2213847265,0.0021367521,0.0069444444,0.2542735043,0.6645299145,0.0550213675,0.014957265,0.4394829612,0.1368977673,0,0.4230317274,0.2593426385,0.2543899145,0.3516434039,0.0972534894,0.3894642053,0.2544065805,0.3055229142,0.1756756757,0.1645123384,0.0987074031,0.13698321,0.1611301679,0.1543599928,0.5314587471,0.0153457303,0.4524733706,0.5468044773,0.2226792009,0.3219741481,0.3425381904,0.116333725,0.544653349,0.0009492169,0.0009492169,0.0047460845,0.0835310869,0.0939724727,0.0465116279,0.109159943,0.0664451827,0.0161366872,0.0792596108,0.0242050308,0.0854295206,0.0033222591,0.0616990982,0.0849549122,0.0849549122,0.0237304224,0.0446131941,0.0484100617,0.0346464167,0.5927859516,0.4048410062,0.0084901561,0,0.1103955842,0.1821527139,0.0689972401,0.0459981601,0.1195952162,0.0234590616,0.225850966,0.1356945722,0.0064397424,0.0496780129,0.029898804,0.4935602576,0.504599816,0.1335981224,0.0458115183,0.0422007583,0.0117349702,0.5989348258,0.0153457303,0.1056147319,0.0340765481,0.0128633327,0.5989348258,0.4012457122,0.0234699404,0.037
8,Humber Heights-Westmount,38,4,3,6,47,433,486,19,4,190,16,118,83,3,4,0.0967078189,0.0781893004,0.0082304527,0.0390946502,0.0082304527,0.3909465021,0.0329218107,0.2427983539,0.170781893,0.0061728395,0.0082304527,0,688,390,"1,450","1,140","3,790","1,510","3,045",950,"2,800",205,"1,200",65,10,55,"4,345","5,280",445,1725,"1,280",1595,1950,"1,680","1,975",490,0,500,925,1370,1345,2295,"8,315","8,670","45,615","1,090",11,"1,200","1,305",710,590,320,2,"4,135","1,705",1705,1235,"5,360",110,5470,4645,0,0,10,490,345,190,505,270,125,370,140,415,0,280,495,485,95,260,275,200,"4,965",2910,2040,150,505,785,355,255,690,210,"1,290",670,45,155,"5,115",2545,2565,"1,150",325,235,195,110,485,180,"7,365",90,360,"7,365",2770,"10,948",3,"3,981",1965,2310,3615,3050,0.1324442821,0.104128608,0.346181951,0.1379247351,0.2781329923,0.08677384,0.1794848374,0.2109974425,0.3301972963,0.2785896967,0.002301496,0.0126582278,0.2761795167,0.6444188723,0.0471806674,0.0149597238,0.4776299879,0.1185006046,0,0.4062877872,0.3020833333,0.2424242424,0.3267045455,0.084280303,0.3693181818,0.2902055623,0.315598549,0.1717049577,0.1426844015,0.0773881499,0.1557362075,0.112805992,0.1557362075,0.4895871392,0.0100474973,0.424278407,0.4996346365,0.2237001209,0.3313180169,0.3252720677,0.1209189843,0.5550181378,0,0,0.0020140987,0.0986908359,0.0694864048,0.0382678751,0.1017119839,0.0543806647,0.0251762336,0.0745216516,0.0281973817,0.0835850957,0,0.0563947633,0.0996978852,0.0976837865,0.0191339376,0.052366566,0.055387714,0.0402819738,0.586102719,0.4108761329,0.0076656528,0,0.0987292278,0.1534701857,0.0694037146,0.0498533724,0.1348973607,0.0410557185,0.2521994135,0.1309872923,0.008797654,0.0303030303,0.0293255132,0.5014662757,0.4975562072,0.1050420168,0.0214651078,0.0443003288,0.0164413592,0.672725612,0.0082206796,0.0296857874,0.0178114724,0.0100474973,0.672725612,0.2530142492,0.0328827183,0.044
9,Edenbridge-Humber Valley,43,7,3,11,17,433,461,23,1,112,16,143,98,5,3,0.0368763557,0.0932754881,0.0151843818,0.0498915401,0.0021691974,0.2429501085,0.0347071584,0.3101952278,0.2125813449,0.010845987,0.0065075922,0,0,0,"2,120","1,805","5,940","2,385","3,290",665,"4,490",345,"2,010",175,40,45,"7,095","8,285",445,2175,"1,730",1875,4250,"2,555","2,405","1,290",0,620,1140,1905,2580,3045,"12,510","13,075","101,551","1,250",8,"1,785","2,045","1,020",905,480,2,"6,260","2,245",1860,1845,"9,065",185,9250,5950,20,15,55,615,560,345,800,400,185,795,320,"1,055",15,345,635,800,160,385,395,365,"8,285",4300,3965,145,"1,225","1,485",630,550,"1,090",340,"1,840",900,65,155,"8,420",4770,3655,795,390,740,255,155,675,135,"11,980",85,270,"11,980",3230,"15,535",5,"2,840",3005,3550,5685,3300,0.1364660444,0.1161892501,0.3823624075,0.1535243,0.2117798519,0.0428065658,0.1934341809,0.2285162536,0.3659478597,0.2124235597,0.0056377731,0.0063424947,0.2832980973,0.6328400282,0.0486257928,0.0246652572,0.3841853035,0.2060702875,0,0.4081469649,0.2263126132,0.2088111044,0.2625226313,0.0537115269,0.5129752565,0.28514377,0.3266773163,0.1629392971,0.1445686901,0.0766773163,0.1197296427,0.1187640811,0.1445123914,0.5835210814,0.0119085935,0.3830061152,0.5954296749,0.1821086262,0.304313099,0.4121405751,0.0990415335,0.4864217252,0.0024140012,0.0018105009,0.0066385033,0.0742305371,0.0675920338,0.0416415208,0.0965600483,0.0482800241,0.0223295112,0.095956548,0.0386240193,0.1273385637,0.0018105009,0.0416415208,0.0766445383,0.0965600483,0.0193120097,0.0464695232,0.0476765238,0.044055522,0.5190102595,0.4785757393,0,0,0.1454869359,0.1763657957,0.0748218527,0.0653206651,0.1294536817,0.0403800475,0.2185273159,0.106888361,0.007719715,0.0184085511,0.0172209026,0.4340855107,0.5665083135,0.0511747667,0.047634374,0.0434502736,0.0086900547,0.7711618925,0.0054715159,0.0251046025,0.0164145478,0.0099774702,0.7711618925,0.2079176054,0.0173801094,0.030
10,Princess-Rosethorn,13,2,0,15,2,195,212,12,3,7,9,72,56,6,5,0.0094339623,0.0613207547,0.0094339623,0.0566037736,0.0141509434,0.0330188679,0.0424528302,0.3396226415,0.2641509434,0.0283018868,0.0235849057,0,0,0,"1,770","1,580","3,825","1,855","2,025",325,"3,515",230,950,75,0,30,"4,800","5,645",240,1095,855,1020,3520,"3,295",440,125,0,190,375,830,2440,1205,"8,865","9,280","99,055",660,6,560,"1,245",750,935,380,3,"3,865","1,335",1065,950,"7,565",130,7695,3350,20,10,20,405,350,275,500,170,130,540,280,950,20,180,585,535,120,220,220,300,"5,800",2580,3250,80,"1,020","1,145",550,390,890,235,985,440,65,95,"5,875",3840,2055,160,590,775,165,105,165,100,"8,945",45,200,"8,945",2105,"11,051",5,"2,138",2540,2135,4375,2030,0.1601665008,0.1429734866,0.3461225228,0.1678581124,0.1832413356,0.0294091032,0.2298434531,0.193195186,0.3958917745,0.1836937834,0,0.00625,0.1979166667,0.7322916667,0.0479166667,0.015625,0.1138421734,0.0323415265,0,0.8525226391,0.1806908769,0.1514614703,0.1939769708,0.0425155004,0.6235606732,0.1448900388,0.3221216041,0.1940491591,0.2419146184,0.0983182406,0.0963713691,0.085965071,0.1208035472,0.6845534341,0.0117636413,0.3031399873,0.6963170754,0.0970245796,0.2147477361,0.6313065977,0.0491591203,0.3117723157,0.0034482759,0.0017241379,0.0034482759,0.0698275862,0.0603448276,0.0474137931,0.0862068966,0.0293103448,0.0224137931,0.0931034483,0.0482758621,0.1637931034,0.0034482759,0.0310344828,0.100862069,0.0922413793,0.0206896552,0.0379310345,0.0379310345,0.0517241379,0.4448275862,0.5603448276,0,0,0.1736170213,0.194893617,0.0936170213,0.0663829787,0.1514893617,0.04,0.1676595745,0.074893617,0.0110638298,0.0161702128,0.0136170213,0.349787234,0.6536170213,0.0144783278,0.0701294001,0.0149307755,0.0090489548,0.8094290109,0.0040720297,0.0533888336,0.0149307755,0.0095014026,0.8094290109,0.1904804995,0.0180979097,0.019
